className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMAB2SolverTest,PMAB2SolverTest28,PMAB2Solver,54.55,54.55,0.00,4,74,37,0,0,20,0,20,0,20,0,4,2,44,4,False,0
PMAB2StepperTest,PMAB2StepperTest28,PMAB2Stepper,69.57,82.61,13.04,4,20,79,30,1,7,3,4,0,10,1,4,2,23,4,False,0
PMAB3SolverTest,PMAB3SolverTest28,PMAB3Solver,56.98,56.98,0.00,4,103,94,0,0,37,0,37,0,31,0,4,17,86,4,False,0
PMAB3StepperTest,PMAB3StepperTest28,PMAB3Stepper,86.49,94.59,8.11,4,21,72,39,1,5,3,2,0,9,1,4,2,37,4,False,0
PMAB4SolverTest,PMAB4SolverTest22,PMAB4Solver,69.44,69.44,0.00,3,148,97,0,0,33,0,33,0,26,0,3,21,108,3,False,0
PMAB4StepperTest,PMAB4StepperTest28,PMAB4Stepper,89.36,95.74,6.38,4,20,72,44,1,5,3,2,0,12,1,4,2,47,4,False,0
PMAM3SolverTest,PMAM3SolverTest22,PMAM3Solver,59.09,59.09,0.00,3,72,74,0,0,18,0,18,0,12,0,3,5,44,3,False,0
PMAM3StepperTest,PMAM3StepperTest34,PMAM3Stepper,97.14,97.14,0.00,5,52,94,0,0,2,0,2,0,11,0,5,5,70,5,False,0
PMAM4SolverTest,PMAM4SolverTest22,PMAM4Solver,63.41,63.41,0.00,3,102,74,0,0,30,0,30,0,19,0,3,7,82,3,False,0
PMAM4StepperTest,PMAM4StepperTest28,PMAM4Stepper,71.08,73.49,2.41,4,61,58,0,0,24,2,22,0,18,0,4,3,83,4,False,0
PMAccuracyTest,PMAccuracyTest58,PMAccuracy,81.32,84.44,3.11,24,416,93,54,4,48,8,40,37,738,0,9,5,257,24,False,8
PMAnotherChromosomeManagerTest,PMAnotherChromosomeManagerTest70,PMAnotherChromosomeManager,65.04,70.73,5.69,11,181,176,142,2,43,8,36,0,182,1,11,5,123,11,False,0
PMBDF2SolverTest,PMBDF2SolverTest28,PMBDF2Solver,60.47,81.40,20.93,4,72,77,28,1,17,9,8,0,15,2,4,2,43,4,False,0
