className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMAB2SolverTest,PMAB2SolverTest23,PMAB2Solver,54.55,54.55,0.00,4,74,37,0,0,20,0,20,0,18,0,4,2,44,4,False,0
PMAB2StepperTest,PMAB2StepperTest23,PMAB2Stepper,69.57,78.26,8.70,4,20,79,0,0,7,2,5,0,10,0,4,2,23,4,False,0
PMAB3SolverTest,PMAB3SolverTest23,PMAB3Solver,56.98,56.98,0.00,4,103,94,0,0,37,0,37,0,40,0,4,20,86,4,False,0
PMAB3StepperTest,PMAB3StepperTest23,PMAB3Stepper,86.49,94.59,8.11,4,21,72,39,1,5,3,2,0,12,1,4,2,37,4,False,0
PMAB4SolverTest,PMAB4SolverTest18,PMAB4Solver,69.44,69.44,0.00,3,148,97,0,0,33,0,33,0,34,0,3,21,108,3,False,0
PMAB4StepperTest,PMAB4StepperTest23,PMAB4Stepper,89.36,89.36,0.00,4,20,72,0,0,5,0,5,0,9,0,4,2,47,4,False,0
PMAM3SolverTest,PMAM3SolverTest18,PMAM3Solver,59.09,59.09,0.00,3,72,74,0,0,18,0,18,0,14,0,3,6,44,3,False,0
PMAM3StepperTest,PMAM3StepperTest28,PMAM3Stepper,97.14,97.14,0.00,5,52,94,0,0,2,0,2,0,17,0,5,7,70,5,False,0
PMAM4SolverTest,PMAM4SolverTest18,PMAM4Solver,63.41,63.41,0.00,3,102,74,0,0,30,0,30,0,19,0,3,5,82,3,False,0
PMAM4StepperTest,PMAM4StepperTest23,PMAM4Stepper,71.08,71.08,0.00,4,61,58,0,0,24,0,24,0,17,0,4,3,83,4,False,0
PMAccuracyTest,PMAccuracyTest45,PMAccuracy,81.32,84.44,3.11,24,416,98,65,5,48,8,40,37,1186,1,9,6,257,24,False,8
PMAnotherChromosomeManagerTest,PMAnotherChromosomeManagerTest58,PMAnotherChromosomeManager,68.29,91.06,22.76,11,181,176,209,1,39,30,11,0,285,3,11,6,123,11,False,0
PMBDF2SolverTest,PMBDF2SolverTest23,PMBDF2Solver,60.47,72.09,11.63,4,72,77,28,1,17,5,12,0,92,2,4,2,43,4,False,0
PMBDF2StepperTest,PMBDF2StepperTest28,PMBDF2Stepper,94.44,94.44,0.00,5,15,94,0,0,1,0,1,0,27,0,5,129,18,5,False,0
PMBDF3SolverTest,PMBDF3SolverTest18,PMBDF3Solver,64.63,64.63,0.00,3,101,74,0,0,29,0,29,0,21,0,3,4,82,3,False,0
PMBDF3StepperTest,PMBDF3StepperTest23,PMBDF3Stepper,95.24,95.24,0.00,4,15,58,0,0,1,0,1,0,8,0,4,2,21,4,False,0
PMBDF4SolverTest,PMBDF4SolverTest18,PMBDF4Solver,64.71,64.71,0.00,3,148,82,0,0,36,0,36,0,27,0,3,4,102,3,False,0
PMBDF4StepperTest,PMBDF4StepperTest23,PMBDF4Stepper,95.83,95.83,0.00,4,17,80,0,0,1,0,1,0,11,0,4,3,24,4,False,0
PMBernoulliGeneratorTest,PMBernoulliGeneratorTest23,PMBernoulliGenerator,76.47,94.12,17.65,4,29,21,32,2,4,3,1,0,6,1,4,1,17,4,False,0
PMBinomialGeneratorTest,PMBinomialGeneratorTest18,PMBinomialGenerator,83.33,91.67,8.33,3,24,41,19,1,2,1,1,0,575,0,3,148,12,3,False,0
PMClusterFinderTest,PMClusterFinderTest18,PMClusterFinder,79.31,82.76,3.45,3,77,57,18,1,6,1,5,1,49,0,3,40,29,3,False,0
PMCovarianceAccumulatorTest,PMCovarianceAccumulatorTest8,PMCovarianceAccumulator,90.00,90.00,0.00,1,27,22,0,0,1,0,1,0,5,0,1,1,10,1,False,0
PMDataHolderTest,PMDataHolderTest8,PMDataHolder,0.00,100.00,100.00,1,4,4,18,1,1,1,0,0,6,1,1,1,1,1,False,0
PMDecimalFloatingNumberTest,PMDecimalFloatingNumberTest43,PMDecimalFloatingNumber,95.00,95.00,0.00,8,53,69,0,0,1,0,1,0,71,0,8,2,20,8,False,0
PMDualNumberTest,PMDualNumberTest78,PMDualNumber,94.12,96.64,2.52,30,153,148,17,2,7,3,6,7,456,3,15,2,119,30,False,0
PMErrorAsParameterFunctionTest,PMErrorAsParameterFunctionTest23,PMErrorAsParameterFunction,65.00,70.00,5.00,4,40,26,0,0,7,1,6,0,11,0,4,10,20,4,False,0
PMErrorMinimizerTest,PMErrorMinimizerTest8,PMErrorMinimizer,66.67,66.67,0.00,1,17,11,0,0,1,0,1,1,7,0,1,2,3,1,False,0
PMErrorOfParameterFunctionTest,PMErrorOfParameterFunctionTest48,PMErrorOfParameterFunction,74.29,77.14,2.86,9,97,84,34,2,27,3,24,0,80,1,9,6,105,9,False,0
PMExponentialDistributionTest,PMExponentialDistributionTest8,PMExponentialDistribution,17.50,20.00,2.50,1,82,8,13,1,33,1,32,6,10,2,1,2,40,1,False,0
PMExponentialGeneratorTest,PMExponentialGeneratorTest18,PMExponentialGenerator,90.00,100.00,10.00,3,25,21,13,1,1,1,0,0,57,0,3,4,10,3,False,0
PMFishmanMooreRandomGeneratorTest,PMFishmanMooreRandomGeneratorTest8,PMFishmanMooreRandomGenerator,30.00,70.00,40.00,1,13,8,30,1,7,4,3,1,4,0,1,1,10,1,False,0
PMFixpointTest,PMFixpointTest33,PMFixpoint,39.47,59.21,19.74,6,103,97,135,4,46,15,31,1,182,3,6,103,76,6,False,0
PMFunctionFitTest,PMFunctionFitTest13,PMFunctionFit,46.15,66.67,20.51,2,55,26,71,2,21,8,13,2,8,1,2,6,39,2,False,0
PMGaussianGeneratorTest,PMGaussianGeneratorTest7,PMGaussianGenerator,86.36,95.45,9.09,1,27,29,27,1,3,2,1,0,90,1,1,19,22,1,False,0
PMHeunStepperTest,PMHeunStepperTest28,PMHeunStepper,92.31,92.31,0.00,5,18,94,0,0,1,0,1,0,12,0,5,3,13,5,False,0
PMHyperDualNumberTest,PMHyperDualNumberTest66,PMHyperDualNumber,82.17,87.90,5.73,28,172,225,62,6,28,9,21,2,1200,3,13,3,157,28,False,4
PMImplicitMidpointSolverTest,PMImplicitMidpointSolverTest8,PMImplicitMidpointSolver,42.86,42.86,0.00,1,19,8,0,0,4,0,4,0,3,0,1,1,7,1,False,0
PMImplicitMidpointStepperTest,PMImplicitMidpointStepperTest28,PMImplicitMidpointStepper,93.75,93.75,0.00,5,19,71,0,0,1,0,1,0,13,0,5,3,16,5,False,0
PMJacobiTransformationTest,PMJacobiTransformationTest13,PMJacobiTransformation,15.29,15.29,0.00,2,142,15,0,0,72,0,72,1,43,0,2,1,85,2,False,0
PMKDTreeTest,PMKDTreeTest7,PMKDTree,92.50,92.50,0.00,13,62,131,0,0,3,0,3,0,732,0,1,4054,40,13,True,0
