className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMAB2SolverTest,PMAB2SolverTest23,PMAB2Solver,54.55,54.55,0.00,4,74,37,0,0,20,0,20,0,22,0,4,3,44,4,False,0
PMAB2StepperTest,PMAB2StepperTest23,PMAB2Stepper,69.57,91.30,21.74,4,20,79,31,1,7,5,2,0,9,1,4,2,23,4,False,0
PMAB3SolverTest,PMAB3SolverTest23,PMAB3Solver,56.98,56.98,0.00,4,103,94,0,0,37,0,37,0,36,0,4,17,86,4,False,0
PMAB3StepperTest,PMAB3StepperTest23,PMAB3Stepper,86.49,94.59,8.11,4,21,72,39,1,5,3,2,0,10,1,4,2,37,4,False,0
PMAB4SolverTest,PMAB4SolverTest18,PMAB4Solver,69.44,69.44,0.00,3,148,97,0,0,33,0,33,0,30,0,3,21,108,3,False,0
PMAB4StepperTest,PMAB4StepperTest23,PMAB4Stepper,89.36,89.36,0.00,4,20,72,0,0,5,0,5,0,11,0,4,2,47,4,False,0
PMAM3SolverTest,PMAM3SolverTest18,PMAM3Solver,59.09,59.09,0.00,3,72,74,0,0,18,0,18,0,15,0,3,5,44,3,False,0
PMAM3StepperTest,PMAM3StepperTest28,PMAM3Stepper,97.14,97.14,0.00,5,52,94,0,0,2,0,2,0,14,0,5,5,70,5,False,0
PMAM4SolverTest,PMAM4SolverTest18,PMAM4Solver,63.41,63.41,0.00,3,102,74,0,0,30,0,30,0,22,0,3,7,82,3,False,0
PMAM4StepperTest,PMAM4StepperTest23,PMAM4Stepper,71.08,71.08,0.00,4,61,58,0,0,24,0,24,0,16,0,4,3,83,4,False,0
PMAccuracyTest,PMAccuracyTest48,PMAccuracy,81.32,84.44,3.11,24,416,90,55,5,48,8,40,37,980,2,9,5,257,24,False,8
PMAnotherChromosomeManagerTest,PMAnotherChromosomeManagerTest58,PMAnotherChromosomeManager,66.67,69.92,3.25,11,181,176,149,3,41,6,37,0,156,3,11,4,123,11,False,0
PMBDF2SolverTest,PMBDF2SolverTest23,PMBDF2Solver,60.47,86.05,25.58,4,72,77,65,2,17,11,6,0,17,3,4,2,43,4,False,0
PMBDF2StepperTest,PMBDF2StepperTest28,PMBDF2Stepper,94.44,94.44,0.00,5,15,94,0,0,1,0,1,0,25,0,5,105,18,5,False,0
PMBDF3SolverTest,PMBDF3SolverTest18,PMBDF3Solver,64.63,64.63,0.00,3,101,74,0,0,29,0,29,0,18,0,3,3,82,3,False,0
PMBDF3StepperTest,PMBDF3StepperTest23,PMBDF3Stepper,95.24,95.24,0.00,4,15,58,0,0,1,0,1,0,10,0,4,3,21,4,False,0
PMBDF4SolverTest,PMBDF4SolverTest18,PMBDF4Solver,64.71,64.71,0.00,3,148,82,0,0,36,0,36,0,28,0,3,4,102,3,False,0
PMBDF4StepperTest,PMBDF4StepperTest23,PMBDF4Stepper,95.83,95.83,0.00,4,17,80,0,0,1,0,1,0,9,0,4,2,24,4,False,0
PMBernoulliGeneratorTest,PMBernoulliGeneratorTest23,PMBernoulliGenerator,76.47,94.12,17.65,4,29,21,44,3,4,3,1,0,7,1,4,1,17,4,False,0
PMBinomialGeneratorTest,PMBinomialGeneratorTest8,PMBinomialGenerator,83.33,91.67,8.33,3,24,41,16,1,2,1,1,0,522,1,1,155,12,3,False,0
PMClusterFinderTest,PMClusterFinderTest18,PMClusterFinder,79.31,82.76,3.45,3,77,57,18,1,6,1,5,1,58,0,3,39,29,3,False,0
PMComplexTest,PMComplexTest41,PMComplex,74.52,75.07,0.55,30,460,100,29,2,93,2,93,11,1622,0,8,2,365,67,True,1
PMCovarianceAccumulatorTest,PMCovarianceAccumulatorTest8,PMCovarianceAccumulator,90.00,90.00,0.00,1,27,22,0,0,1,0,1,0,6,0,1,1,10,1,False,0
PMDataHolderTest,PMDataHolderTest8,PMDataHolder,0.00,100.00,100.00,1,4,4,18,1,1,1,0,0,4,1,1,0,1,1,False,0
PMDecimalFloatingNumberTest,PMDecimalFloatingNumberTest43,PMDecimalFloatingNumber,95.00,95.00,0.00,8,53,69,0,0,1,0,1,0,162,0,8,2,20,8,False,0
PMDualNumberTest,PMDualNumberTest78,PMDualNumber,94.12,96.64,2.52,30,153,161,19,1,7,3,5,4,423,3,15,2,119,30,False,0
PMErrorAsParameterFunctionTest,PMErrorAsParameterFunctionTest23,PMErrorAsParameterFunction,65.00,70.00,5.00,4,40,26,0,0,7,1,6,0,10,0,4,7,20,4,False,0
PMErrorMinimizerTest,PMErrorMinimizerTest8,PMErrorMinimizer,66.67,66.67,0.00,1,17,11,0,0,1,0,1,1,9,0,1,2,3,1,False,0
PMErrorOfParameterFunctionTest,PMErrorOfParameterFunctionTest48,PMErrorOfParameterFunction,74.29,77.14,2.86,9,97,84,37,2,27,3,24,0,97,0,9,8,105,9,False,0
PMExponentialDistributionTest,PMExponentialDistributionTest8,PMExponentialDistribution,17.50,20.00,2.50,1,82,8,14,1,33,1,32,6,9,1,1,2,40,1,False,0
PMExponentialGeneratorTest,PMExponentialGeneratorTest18,PMExponentialGenerator,90.00,100.00,10.00,3,25,21,13,1,1,1,0,0,57,0,3,5,10,3,False,0
PMFishmanMooreRandomGeneratorTest,PMFishmanMooreRandomGeneratorTest8,PMFishmanMooreRandomGenerator,30.00,70.00,40.00,1,13,8,30,1,7,4,3,1,3,0,1,0,10,1,False,0
PMFixpointTest,PMFixpointTest33,PMFixpoint,39.47,56.58,17.11,6,103,97,133,4,46,13,33,1,176,2,6,91,76,6,False,0
PMFunctionFitTest,PMFunctionFitTest13,PMFunctionFit,46.15,66.67,20.51,2,55,26,69,2,21,8,13,2,9,1,2,7,39,2,False,0
PMGaussianGeneratorTest,PMGaussianGeneratorTest7,PMGaussianGenerator,86.36,95.45,9.09,1,27,29,0,0,3,2,1,0,90,0,1,17,22,1,False,0
PMHeunStepperTest,PMHeunStepperTest28,PMHeunStepper,92.31,92.31,0.00,5,18,94,0,0,1,0,1,0,12,0,5,3,13,5,False,0
PMHyperDualNumberTest,PMHyperDualNumberTest68,PMHyperDualNumber,82.17,89.17,7.01,28,172,214,62,6,28,11,20,1,772,2,13,2,157,28,False,5
PMImplicitMidpointSolverTest,PMImplicitMidpointSolverTest8,PMImplicitMidpointSolver,42.86,42.86,0.00,1,19,8,0,0,4,0,4,0,3,0,1,1,7,1,False,0
PMImplicitMidpointStepperTest,PMImplicitMidpointStepperTest28,PMImplicitMidpointStepper,93.75,93.75,0.00,5,19,71,0,0,1,0,1,0,10,0,5,3,16,5,False,0
PMJacobiTransformationTest,PMJacobiTransformationTest13,PMJacobiTransformation,15.29,15.29,0.00,2,142,15,0,0,72,0,72,1,29,0,2,3,85,2,False,0
PMKDTreeTest,PMKDTreeTest7,PMKDTree,92.50,92.50,0.00,13,62,131,0,0,3,0,3,0,809,0,1,3416,40,13,True,0
PMKolmogorovSmirnov1SampleTest,PMKolmogorovSmirnov1SampleTest28,PMKolmogorovSmirnov1Sample,72.73,90.91,18.18,5,40,47,0,0,3,2,1,1,315,0,5,169,11,5,False,0
PMKolmogorovSmirnov2SampleTest,PMKolmogorovSmirnov2SampleTest23,PMKolmogorovSmirnov2Sample,85.45,90.91,5.45,4,94,50,0,0,8,3,5,1,109,0,4,5,55,4,False,0
PMKolmogorovsDistributionTest,PMKolmogorovsDistributionTest18,PMKolmogorovsDistribution,78.38,78.38,0.00,3,51,36,0,0,16,0,16,1,6,0,3,2,74,3,False,0
PMLaplaceGeneratorTest,PMLaplaceGeneratorTest8,PMLaplaceGenerator,33.33,66.67,33.33,1,12,4,0,0,2,1,1,0,1,0,1,0,3,1,False,0
