className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
ZnBase64EncoderTest,ZnBase64EncoderTest53,ZnBase64Encoder,79.03,79.03,0.00,10,204,139,0,0,26,0,26,0,111,0,10,2,124,10,False,0
ZnBivalentWriteStreamTest,ZnBivalentWriteStreamTest13,ZnBivalentWriteStream,44.44,44.44,0.00,2,51,21,0,0,10,0,10,1,4,0,2,1,18,2,False,0
ZnBufferedReadWriteStreamTest,ZnBufferedReadWriteStreamTest39,ZnBufferedReadWriteStream,60.71,92.86,32.14,11,104,114,53,2,11,9,2,2,129,3,11,4,28,11,False,0
ZnBufferedWriteStreamTest,ZnBufferedWriteStreamTest18,ZnBufferedWriteStream,34.25,34.25,0.00,3,167,27,0,0,48,0,48,16,333,0,3,1,73,3,False,0
ZnCRLFReadStreamTest,ZnCRLFReadStreamTest16,ZnCRLFReadStream,51.06,51.06,0.00,3,75,82,0,0,23,0,23,3,11,0,3,1,47,3,False,0
ZnDigestAuthenticatorTest,ZnDigestAuthenticatorTest13,ZnDigestAuthenticator,21.05,21.05,0.00,2,94,36,0,0,30,0,30,4,272,0,2,2,38,2,False,0
ZnEasyTest,ZnEasyTest23,ZnEasy,60.00,60.00,0.00,9,182,111,0,0,6,0,6,6,760,0,5,2349,15,10,True,0
ZnEntityReaderTest,ZnEntityReaderTest19,ZnEntityReader,52.22,61.11,8.89,4,75,52,66,3,43,8,35,0,130,2,4,2,90,4,False,0
ZnEntityWriterTest,ZnEntityWriterTest23,ZnEntityWriter,60.61,60.61,0.00,4,40,71,0,0,13,0,13,0,190,0,4,214,33,4,False,0
ZnFastLineReaderTest,ZnFastLineReaderTest13,ZnFastLineReader,90.00,90.00,0.00,2,46,41,0,0,2,0,2,1,26,0,2,1,20,2,False,0
ZnHeadersTest,ZnHeadersTest48,ZnHeaders,23.44,51.56,28.12,9,251,82,160,4,98,36,62,15,121,1,9,2,128,9,False,0
ZnHtmlOutputStreamTest,ZnHtmlOutputStreamTest73,ZnHtmlOutputStream,75.00,75.00,0.00,14,212,80,0,0,6,0,6,5,25,0,14,1,24,14,False,0
ZnImageExampleDelegateTest,ZnImageExampleDelegateTest16,ZnImageExampleDelegate,58.14,58.14,0.00,3,77,51,0,0,18,0,18,1,811,0,3,1614,43,3,True,0
ZnLimitedReadStreamTest,ZnLimitedReadStreamTest47,ZnLimitedReadStream,58.90,69.86,10.96,10,124,71,54,3,30,8,22,4,211,1,10,1,73,10,False,0
ZnLineReaderTest,ZnLineReaderTest23,ZnLineReader,65.00,70.00,5.00,4,48,24,0,0,14,2,12,0,20,0,4,3,40,4,False,0
ZnMessageBenchmarkTest,ZnMessageBenchmarkTest13,ZnMessageBenchmark,80.00,80.00,0.00,2,156,20,0,0,6,0,6,3,309,0,2,599,30,2,False,0
ZnMimeTypeTest,ZnMimeTypeTest63,ZnMimeType,53.46,66.04,12.58,12,374,100,101,3,74,20,54,4,145,1,12,1,159,12,False,0
ZnMultiValueDictionaryTest,ZnMultiValueDictionaryTest23,ZnMultiValueDictionary,60.53,73.68,13.16,4,62,38,36,2,15,5,10,3,15,1,4,2,38,4,False,0
ZnNewLineWriterStreamTest,ZnNewLineWriterStreamTest13,ZnNewLineWriterStream,86.36,86.36,0.00,2,41,24,0,0,3,0,3,0,3,0,2,2,22,2,False,0
ZnPercentEncoderTest,ZnPercentEncoderTest38,ZnPercentEncoder,93.33,95.56,2.22,7,88,48,0,0,3,1,2,2,51,0,7,2,45,7,False,0
ZnPositionableReadStreamTest,ZnPositionableReadStreamTest49,ZnPositionableReadStream,76.39,83.33,6.94,14,157,168,35,2,17,5,12,2,578,1,14,10,72,14,False,0
ZnReadEvalPrintDelegateTest,ZnReadEvalPrintDelegateTest2,ZnReadEvalPrintDelegate,47.22,47.22,0.00,1,54,24,0,0,19,0,19,3,15,0,0,20,36,1,False,0
ZnRequestLineTest,ZnRequestLineTest23,ZnRequestLine,20.29,26.09,5.80,4,102,20,20,1,55,4,51,3,20,0,4,2,69,4,False,0
ZnRequestTest,ZnRequestTest37,ZnRequest,39.29,53.57,14.29,7,178,93,38,1,51,12,39,11,145,0,7,3,84,7,False,0
ZnResourceMetaUtilsTest,ZnResourceMetaUtilsTest18,ZnResourceMetaUtils,57.14,57.14,0.00,3,112,18,0,0,6,0,6,0,7,0,3,2,14,3,False,0
ZnResponseTest,ZnResponseTest37,ZnResponse,25.56,42.22,16.67,12,275,132,57,1,67,15,52,16,495,1,12,201,90,12,False,0
ZnStaticFileDecoratorDelegateTest,ZnStaticFileDecoratorDelegateTest7,ZnStaticFileDecoratorDelegate,80.00,80.00,0.00,1,23,15,0,0,2,0,2,0,9,0,1,2,10,1,False,0
ZnStaticFileServerDelegateTest,ZnStaticFileServerDelegateTest28,ZnStaticFileServerDelegate,47.73,47.73,0.00,5,130,133,0,0,46,0,46,3,478,0,5,139,88,5,False,0
ZnStatusLineTest,ZnStatusLineTest38,ZnStatusLine,28.07,28.07,0.00,7,146,38,0,0,41,0,41,3,38,0,7,2,57,7,False,0
ZnUserAgentSessionTest,ZnUserAgentSessionTest18,ZnUserAgentSession,20.00,40.00,20.00,3,26,20,16,1,8,2,6,4,6,0,3,1,10,3,False,0
