className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
ZnBase64EncoderTest,ZnBase64EncoderTest64,ZnBase64Encoder,79.03,79.03,0.00,10,204,139,0,0,26,0,26,0,72,0,10,2,124,10,False,0
ZnBivalentWriteStreamTest,ZnBivalentWriteStreamTest16,ZnBivalentWriteStream,44.44,44.44,0.00,2,51,21,0,0,10,0,10,1,4,0,2,1,18,2,False,0
ZnBufferedReadWriteStreamTest,ZnBufferedReadWriteStreamTest57,ZnBufferedReadWriteStream,60.71,92.86,32.14,11,104,114,55,2,11,9,2,2,88,3,11,2,28,11,False,0
ZnBufferedWriteStreamTest,ZnBufferedWriteStreamTest18,ZnBufferedWriteStream,34.25,38.36,4.11,3,167,27,31,1,48,3,45,16,329,3,2,1,73,3,False,0
ZnCRLFReadStreamTest,ZnCRLFReadStreamTest21,ZnCRLFReadStream,51.06,51.06,0.00,3,75,82,0,0,23,0,23,3,12,0,3,1,47,3,False,0
ZnDigestAuthenticatorTest,ZnDigestAuthenticatorTest16,ZnDigestAuthenticator,21.05,21.05,0.00,2,94,36,0,0,30,0,30,4,117,0,2,1,38,2,False,0
ZnEasyTest,ZnEasyTest42,ZnEasy,60.00,60.00,0.00,9,182,111,0,0,6,0,6,6,746,0,5,2248,15,10,True,0
ZnEntityReaderTest,ZnEntityReaderTest26,ZnEntityReader,52.22,61.11,8.89,4,75,52,80,3,43,8,35,0,101,3,4,2,90,4,False,0
ZnEntityWriterTest,ZnEntityWriterTest28,ZnEntityWriter,60.61,69.70,9.09,4,40,71,44,1,13,3,10,0,235,3,4,317,33,4,False,0
ZnFastLineReaderTest,ZnFastLineReaderTest16,ZnFastLineReader,90.00,90.00,0.00,2,46,41,0,0,2,0,2,1,27,0,2,1,20,2,False,0
ZnHeadersTest,ZnHeadersTest58,ZnHeaders,23.44,48.44,25.00,9,251,82,152,4,98,32,66,15,112,0,9,2,128,9,False,0
