className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
JQAjaxTest,JQAjaxTest74,JQAjax,60.00,60.00,0.00,50,240,98,0,0,32,0,32,17,1252,0,15,4,80,50,False,0
JQEffectTest,JQEffectTest21,JQEffect,87.50,87.50,0.00,6,156,128,0,0,4,0,4,17,430,0,6,3,32,6,False,0
JQueryClassTest,JQueryClassTest84,JQueryClass,78.38,78.38,0.00,30,113,69,0,0,8,0,8,8,136,0,15,6,37,30,False,0
JQueryInstanceTest,JQueryInstanceTest54,JQueryInstance,35.48,35.48,0.00,96,727,94,0,0,20,0,20,137,2135,0,15,3,31,96,False,0
JSDecorationTest,JSDecorationTest52,JSDecoration,33.33,33.33,0.00,23,10,64,0,0,2,0,2,2,110,0,8,3,3,23,False,0
JSScriptTest,JSScriptTest67,JSScript,57.14,57.14,0.00,15,41,92,0,0,3,0,3,1,62,0,15,5,7,15,False,0
JSStreamTest,JSStreamTest22,JSStream,50.00,50.00,0.00,18,189,13,0,0,12,0,12,6,125,0,3,2,24,18,False,0
WAAnchorTagTest,WAAnchorTagTest35,WAAnchorTag,66.67,66.67,0.00,8,78,107,0,0,4,0,4,7,23,0,8,6,12,8,False,0
WAApplicationTest1To4,WAApplicationTest100,WAApplication,37.04,66.67,29.63,16,106,77,62,4,17,8,9,8,118,2,16,6,27,4,False,0
WABidirectionalCacheTest,WABidirectionalCacheTest58,WABidirectionalCache,60.00,65.00,5.00,9,63,73,11,1,8,1,7,3,747,0,9,3,20,5,True,0
WABlockMimeDocumentTest,WABlockMimeDocumentTest40,WABlockMimeDocument,75.00,75.00,0.00,6,19,42,0,0,2,0,2,1,64,0,6,1,8,6,False,0
WAComboResponseTest1To3,WAComboResponseTest138,WAComboResponse,42.55,48.94,6.38,28,136,41,21,1,27,3,24,5,746,0,23,5,47,3,True,0
WAComponentTest,WAComponentTest73,WAComponent,51.22,59.76,8.54,15,238,316,70,3,40,7,33,40,727,2,10,3,82,15,True,0
WACookieForBrowserIPForCrawlerTrackingStrategyTest,WACookieForBrowserIPForCrawlerTrackingStrategyTest16,WACookieForBrowserIPForCrawlerTrackingStrategy,43.75,43.75,0.00,2,32,33,0,0,9,0,9,5,4,0,2,2,16,2,False,0
WACookieIfSupportedSessionTrackingStrategyTest,WACookieIfSupportedSessionTrackingStrategyTest88,WACookieIfSupportedSessionTrackingStrategy,0.00,0.00,0.00,14,24,16,0,0,15,0,15,0,58,0,14,5,15,2,False,0
WACookieOnlySessionTrackingStrategyTest,WACookieOnlySessionTrackingStrategyTest82,WACookieOnlySessionTrackingStrategy,0.00,0.00,0.00,13,14,8,0,0,6,0,6,0,43,0,13,4,6,1,False,0
WACookieTest1To15,WACookieTest94,WACookie,50.00,56.06,6.06,15,168,215,27,1,33,4,29,9,212,0,15,3,66,16,False,0
