className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMAB2SolverTest,PMAB2SolverTest28,PMAB2Solver,54.55,54.55,0.00,4,74,37,0,0,20,0,20,0,21,0,4,3,44,4,False,0
PMAB2StepperTest,PMAB2StepperTest28,PMAB2Stepper,69.57,78.26,8.70,4,20,79,0,0,7,2,5,0,10,0,4,2,23,4,False,0
PMAB3SolverTest,PMAB3SolverTest28,PMAB3Solver,56.98,56.98,0.00,4,103,94,0,0,37,0,37,0,31,0,4,15,86,4,False,0
PMAB3StepperTest,PMAB3StepperTest28,PMAB3Stepper,86.49,94.59,8.11,4,21,72,39,1,5,3,2,0,11,1,4,2,37,4,False,0
PMAB4SolverTest,PMAB4SolverTest22,PMAB4Solver,69.44,69.44,0.00,3,148,97,0,0,33,0,33,0,32,0,3,24,108,3,False,0
PMAB4StepperTest,PMAB4StepperTest28,PMAB4Stepper,89.36,89.36,0.00,4,20,72,0,0,5,0,5,0,10,0,4,2,47,4,False,0
PMAM3SolverTest,PMAM3SolverTest22,PMAM3Solver,59.09,59.09,0.00,3,72,74,0,0,18,0,18,0,14,0,3,6,44,3,False,0
PMAM3StepperTest,PMAM3StepperTest34,PMAM3Stepper,97.14,97.14,0.00,5,52,94,0,0,2,0,2,0,14,0,5,5,70,5,False,0
PMAM4SolverTest,PMAM4SolverTest22,PMAM4Solver,63.41,63.41,0.00,3,102,74,0,0,30,0,30,0,21,0,3,7,82,3,False,0
PMAM4StepperTest,PMAM4StepperTest28,PMAM4Stepper,71.08,71.08,0.00,4,61,58,0,0,24,0,24,0,16,0,4,3,83,4,False,0
PMAccuracyTest16To24,PMAccuracyTest58,PMAccuracy,81.32,84.44,3.11,9,416,95,71,3,48,8,40,37,249,2,9,4,257,24,False,0
PMAccuracyTest1To15,PMAccuracyTest94,PMAccuracy,81.32,84.44,3.11,15,416,155,45,2,48,8,40,37,550,0,15,8,257,24,False,0
PMAnotherChromosomeManagerTest,PMAnotherChromosomeManagerTest69,PMAnotherChromosomeManager,69.11,79.67,10.57,11,181,176,94,2,38,16,25,0,365,3,11,6,123,11,False,0
