className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
ZnBase64EncoderTest,ZnBase64EncoderTest64,ZnBase64Encoder,79.03,79.03,0.00,10,204,139,0,0,26,0,26,0,69,0,10,3,124,10,False,0
ZnBivalentWriteStreamTest,ZnBivalentWriteStreamTest16,ZnBivalentWriteStream,44.44,44.44,0.00,2,51,21,0,0,10,0,10,1,4,0,2,1,18,2,False,0
ZnBufferedReadWriteStreamTest,ZnBufferedReadWriteStreamTest59,ZnBufferedReadWriteStream,60.71,89.29,28.57,11,104,114,35,1,11,8,3,2,133,1,11,2,28,11,False,0
ZnBufferedWriteStreamTest,ZnBufferedWriteStreamTest22,ZnBufferedWriteStream,34.25,34.25,0.00,3,167,27,0,0,48,0,48,16,173,0,3,1,73,3,False,0
ZnCRLFReadStreamTest,ZnCRLFReadStreamTest22,ZnCRLFReadStream,51.06,51.06,0.00,3,75,82,0,0,23,0,23,3,11,0,3,1,47,3,False,0
ZnDigestAuthenticatorTest,ZnDigestAuthenticatorTest16,ZnDigestAuthenticator,21.05,21.05,0.00,2,94,36,0,0,30,0,30,4,11,0,2,1,38,2,False,0
ZnEasyTest,ZnEasyTest30,ZnEasy,60.00,60.00,0.00,9,182,111,0,0,6,0,6,6,777,0,2,2660,15,10,True,0
ZnEntityReaderTest,ZnEntityReaderTest25,ZnEntityReader,52.22,60.00,7.78,4,75,52,77,3,43,7,36,0,84,3,4,2,90,4,False,0
ZnEntityWriterTest,ZnEntityWriterTest28,ZnEntityWriter,60.61,60.61,0.00,4,40,71,0,0,13,0,13,0,204,0,4,242,33,4,False,0
ZnFastLineReaderTest,ZnFastLineReaderTest16,ZnFastLineReader,90.00,90.00,0.00,2,46,41,0,0,2,0,2,1,27,0,2,1,20,2,False,0
ZnHeadersTest,ZnHeadersTest58,ZnHeaders,23.44,51.56,28.12,9,251,82,172,5,98,36,62,15,116,1,9,4,128,9,False,0
ZnHtmlOutputStreamTest,ZnHtmlOutputStreamTest88,ZnHtmlOutputStream,75.00,75.00,0.00,14,212,80,0,0,6,0,6,5,31,0,14,2,24,14,False,0
ZnLimitedReadStreamTest,ZnLimitedReadStreamTest59,ZnLimitedReadStream,58.90,68.49,9.59,10,124,71,68,3,30,7,23,4,157,1,10,1,73,10,False,0
ZnLineReaderTest,ZnLineReaderTest28,ZnLineReader,65.00,65.00,0.00,4,48,24,0,0,14,0,14,0,33,0,4,1,40,4,False,0
ZnMessageBenchmarkTest,ZnMessageBenchmarkTest16,ZnMessageBenchmark,80.00,80.00,0.00,2,156,20,0,0,6,0,6,3,184,0,2,469,30,2,False,0
ZnMimeTypeTest,ZnMimeTypeTest76,ZnMimeType,53.46,66.04,12.58,12,374,100,116,4,74,20,54,4,147,1,12,2,159,12,False,0
ZnMultiValueDictionaryTest,ZnMultiValueDictionaryTest28,ZnMultiValueDictionary,60.53,73.68,13.16,4,62,38,36,2,15,5,10,3,44,3,4,1,38,4,False,0
ZnNewLineWriterStreamTest,ZnNewLineWriterStreamTest16,ZnNewLineWriterStream,86.36,86.36,0.00,2,41,24,0,0,3,0,3,0,5,0,2,2,22,2,False,0
ZnPercentEncoderTest,ZnPercentEncoderTest46,ZnPercentEncoder,93.33,95.56,2.22,7,88,48,0,0,3,1,2,2,55,0,7,2,45,7,False,0
ZnPositionableReadStreamTest,ZnPositionableReadStreamTest70,ZnPositionableReadStream,76.39,81.94,5.56,14,157,168,35,2,17,4,13,2,641,1,13,12,72,14,False,0
ZnReadEvalPrintDelegateTest,ZnReadEvalPrintDelegateTest6,ZnReadEvalPrintDelegate,47.22,47.22,0.00,1,54,24,0,0,19,0,19,3,30,0,0,30,36,1,False,0
ZnRequestLineTest,ZnRequestLineTest28,ZnRequestLine,20.29,26.09,5.80,4,102,20,19,1,55,4,51,3,16,0,4,1,69,4,False,0
ZnRequestTest,ZnRequestTest46,ZnRequest,39.29,59.52,20.24,7,178,93,87,3,51,17,34,11,143,1,7,3,84,7,False,0
ZnResourceMetaUtilsTest,ZnResourceMetaUtilsTest22,ZnResourceMetaUtils,57.14,57.14,0.00,3,112,18,0,0,6,0,6,0,6,0,3,1,14,3,False,0
ZnResponseTest,ZnResponseTest67,ZnResponse,25.56,43.33,17.78,12,275,132,87,3,67,16,51,16,585,3,12,219,90,12,False,0
ZnStaticFileDecoratorDelegateTest,ZnStaticFileDecoratorDelegateTest9,ZnStaticFileDecoratorDelegate,80.00,80.00,0.00,1,23,15,0,0,2,0,2,0,7,0,1,2,10,1,False,0
ZnStaticFileServerDelegateTest,ZnStaticFileServerDelegateTest34,ZnStaticFileServerDelegate,47.73,47.73,0.00,5,130,133,0,0,46,0,46,3,417,0,5,140,88,5,False,0
ZnStatusLineTest,ZnStatusLineTest46,ZnStatusLine,28.07,29.82,1.75,7,146,38,13,1,41,1,40,3,48,1,7,1,57,7,False,0
ZnUserAgentSessionTest,ZnUserAgentSessionTest22,ZnUserAgentSession,20.00,40.00,20.00,3,26,20,16,1,8,2,6,4,6,0,3,1,10,3,False,0
