className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
BaseIdTest,BaseIdTest33,BaseId,80.00,100.00,20.00,6,32,43,30,2,2,2,0,2,155,1,6,1,10,6,False,0
CommandBlockMorphTest,CommandBlockMorphTest12,CommandBlockMorph,27.33,30.63,3.30,12,465,162,56,1,242,11,231,10,830,1,5,31,333,12,True,0
LazyArrayTest,LazyArrayTest77,LazyArray,68.10,72.39,4.29,30,179,159,79,8,52,7,45,6,1393,2,15,2,163,31,True,5
ObjStreamTest,ObjStreamTest17,ObjStream,74.06,74.40,0.34,3,660,105,13,1,76,1,75,4,239,0,3,29,293,3,False,0
SColorListTest,SColorListTest8,SColorList,45.38,47.06,1.68,1,277,23,61,1,65,2,63,5,18,0,1,1,119,1,False,0
SDisplayTest,SDisplayTest9,SDisplay,39.39,39.39,0.00,18,127,35,0,0,40,0,40,14,1446,0,3,3,66,18,True,0
SMicroWorldTest,SMicroWorldTest28,SMicroWorld,29.81,43.27,13.46,20,311,51,175,19,73,14,61,40,893,3,5,5,104,20,False,11
SNativeDiffuserTest,SNativeDiffuserTest33,SNativeDiffuser,97.00,98.00,1.00,21,209,88,13,2,3,1,2,9,190,0,6,2,100,21,False,1
SObserverTest,SObserverTest14,SObserver,5.88,5.88,0.00,4,68,35,0,0,48,0,48,8,42,0,4,2,51,4,False,0
SPatchesTest,SPatchesTest78,SPatches,87.80,96.34,8.54,30,156,254,148,6,10,7,3,11,782,3,15,13,82,31,False,3
SProcessTest,SProcessTest18,SProcess,71.79,74.36,2.56,18,94,47,15,2,11,1,10,3,180,1,3,3,39,18,False,1
ScratchBlockDefTest,ScratchBlockDefTest13,ScratchBlockDef,85.37,85.37,0.00,17,67,32,0,0,6,0,6,4,86,0,2,1,41,17,False,0
ScratchBytecodeTest,ScratchBytecodeTest33,ScratchBytecode,55.56,55.56,0.00,6,23,36,0,0,4,0,4,0,12,0,6,2,9,6,False,0
ScratchBytecodeValueTest,ScratchBytecodeValueTest33,ScratchBytecodeValue,82.54,82.54,0.00,6,58,92,0,0,11,0,11,0,24,0,6,2,63,6,False,0
ScratchNativeThreadTest,ScratchNativeThreadTest78,ScratchNativeThread,82.14,92.86,10.71,18,321,257,90,2,15,9,6,6,283,3,15,6,84,63,False,0
ScratchPlotCommandTest,ScratchPlotCommandTest13,ScratchPlotCommand,12.00,44.00,32.00,2,33,16,54,2,22,8,14,2,6,1,2,2,25,2,False,0
ScratchPlotterMorphTest,ScratchPlotterMorphTest5,ScratchPlotterMorph,81.55,81.55,0.00,22,271,208,0,0,31,0,31,6,1458,0,2,3,168,37,True,0
ScratchSexpImporterTest,ScratchSexpImporterTest43,ScratchSexpImporter,13.51,13.51,0.00,8,193,59,0,0,96,0,96,12,51,0,8,2,111,8,False,0
ScratchStepperMorphTest,ScratchStepperMorphTest9,ScratchStepperMorph,50.00,50.00,0.00,2,13,10,0,0,2,0,2,1,452,0,2,1,4,2,False,0
SexpLexerTest,SexpLexerTest23,SexpLexer,94.12,94.12,0.00,4,31,50,0,0,1,0,1,1,43,0,4,2,17,4,False,0
SexpParserTest,SexpParserTest18,SexpParser,87.50,87.50,0.00,3,21,39,0,0,2,0,2,0,12,0,3,2,16,3,False,0
SteloBytecodeGeneratorTest,SteloBytecodeGeneratorTest48,SteloBytecodeGenerator,50.00,50.00,0.00,83,264,411,0,0,14,0,14,42,2419,0,15,10,28,98,False,0
SteloNativeThreadTest,SteloNativeThreadTest62,SteloNativeThread,39.58,43.75,4.17,45,331,232,26,1,29,2,27,2,2205,2,12,9,48,100,True,0
SteloProcessTest,SteloProcessTest13,SteloProcess,50.00,50.00,0.00,2,14,12,0,0,1,0,1,1,3,0,2,1,2,2,False,0
StringArrayTest,StringArrayTest13,StringArray,72.73,86.36,13.64,17,72,30,22,4,6,3,4,4,141,1,2,1,22,17,False,2
VarDefTest,VarDefTest73,VarDef,76.81,89.86,13.04,29,112,127,107,12,16,9,7,8,343,3,14,1,69,29,False,9
